EL,ER,SL,SR,type
83,83,91,91,2
83,83,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
82,82,91,91,2
81,81,91,91,2
81,81,91,91,2
81,81,91,91,2
81,81,91,91,2
81,81,91,91,2
81,81,91,91,2
81,81,91,91,2
80,80,91,91,2
80,80,91,91,2
80,80,91,91,2
80,80,91,91,2
80,80,91,91,2
80,80,91,91,2
80,80,91,91,2
79,79,91,91,2
79,79,91,91,2
79,79,91,91,2
77,77,91,91,2
77,77,91,91,2
75,75,91,91,2
91,91,92,92,2
91,91,92,92,2
91,91,92,92,2
91,91,92,92,2
91,91,92,92,2
91,91,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
90,90,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
89,89,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
88,88,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
87,87,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
86,86,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
85,85,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
84,84,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
83,83,92,92,2
82,82,92,92,2
82,82,92,92,2
82,82,92,92,2
82,82,92,92,2
81,81,92,92,2
81,81,92,92,2
81,81,92,92,2
80,80,92,92,2
80,80,92,92,2
79,79,92,92,2
78,78,92,92,2
74,74,92,92,2
92,92,93,93,2
92,92,93,93,2
92,92,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
91,91,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
90,90,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
89,89,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
88,88,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
87,87,93,93,2
