EL,ER,SL,SR,type
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
28,28,37,37,2
28,28,37,37,2
28,28,37,37,2
28,28,37,37,2
28,28,37,37,2
28,28,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
27,27,37,37,2
26,26,37,37,2
26,26,37,37,2
26,26,37,37,2
26,26,37,37,2
24,24,37,37,2
24,24,37,37,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
37,37,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
36,36,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
35,35,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
